date,equalWeighting,minVariance,maxReturn,maxSharpe,maxSortino,riskParity,00pct,01pct,02pct
2018-04-30,5181998.000545845,5131734.994996341,5350891.670861635,5133808.271916524,5099956.886840824,5172438.275852952,5129700.040940327,5276805.859174604,5350891.670861635
2018-05-31,5188542.298114218,5141092.469730979,5358112.513100673,5143340.97116988,5112057.440122046,5179181.087279673,5138681.656252753,5286489.84141593,5358112.513100673
2018-06-30,5194246.880354903,5150147.957997336,5364576.886152767,5152694.769500313,5124121.8049412165,5185122.8675251715,5147353.453532302,5295195.62746182,5364576.886152767
2018-07-31,5200949.951753841,5160315.167065985,5372746.753371793,5163406.889698029,5137428.833897615,5192078.615847608,5157240.9258041205,5304998.823241514,5372746.753371793
2018-08-31,5209760.10011045,5172414.060048397,5383777.449516,5176548.286998874,5153349.86493031,5201112.439360141,5169289.90858895,5317150.556662612,5383777.449516
2018-09-30,5217852.399179261,5184313.851819832,5394368.0181332575,5189950.926319698,5170131.38640202,5209487.933305425,5181380.666606365,5329057.07387599,5394368.0181332575
2018-10-31,5221705.13540065,5193910.469299308,5400007.152072316,5201227.2975936895,5185070.554655001,5213898.544776551,5191371.282088082,5337469.356036233,5400007.152072316
2018-11-30,5221663.035451088,5201633.651970616,5400612.327421874,5210660.99922987,5197859.716320559,5214710.4216110185,5199600.109078935,5342293.778225478,5400612.327421874
2018-12-31,5220488.53187924,5208510.233852215,5400172.199894923,5219428.902630466,5209562.850293464,5214406.957731885,5206966.21324928,5345567.048321134,5400172.199894923
2019-01-31,5219433.513114315,5214646.277573612,5400571.0654662205,5227641.422653227,5220310.285483158,5214065.410158707,5213457.408747542,5348609.133584505,5400571.0654662205
2019-02-28,5217779.864708004,5219669.622992021,5399580.778530582,5234569.382657081,5229235.317032961,5213060.759165348,5218528.50711886,5350745.413466487,5399580.778530582
2019-03-31,5214208.356317374,5222639.298022759,5395069.471379334,5239006.555866571,5235097.5397825735,5210153.433881583,5221097.799736593,5350038.05603538,5395069.471379334
2019-04-30,5208652.989155461,5223740.002989107,5387559.795450735,5241137.137200726,5238021.409497521,5205316.161564259,5221435.314350164,5346221.016899675,5387559.795450735
2019-05-31,5202762.167604694,5224734.998891646,5379252.388379537,5242981.60861103,5240267.290404352,5200228.638840701,5221610.744059729,5341581.411476085,5379252.388379537
2019-06-30,5198746.742973607,5227732.329953929,5372265.363889189,5246588.827953075,5243822.263401239,5197084.134908831,5223751.235444697,5338673.369578808,5372265.363889189
2019-07-31,5200294.233669179,5235386.644275385,5369968.448357915,5254332.79616224,5250111.920819369,5199460.826422202,5230450.709047803,5341221.040131719,5369968.448357915
2019-08-31,5208805.270075324,5247883.1218930995,5374300.953701339,5266703.135004139,5259244.578160505,5208624.894723012,5241995.868251596,5350854.2339411145,5374300.953701339
2019-09-30,5222951.805709274,5262954.463454142,5385317.895860328,5282006.721456962,5270621.271967391,5223109.0867669275,5256252.615031524,5366053.494526649,5385317.895860328
2019-10-31,5242406.065980948,5279944.557977735,5403761.990036616,5299471.309586926,5284134.551514915,5242504.290943873,5272546.534839275,5386338.086201221,5403761.990036616
2019-11-30,5267258.03074124,5299909.719730958,5429000.552910208,5319650.504237422,5299890.12605844,5266992.0664610155,5291864.73716851,5412158.168402492,5429000.552910208
2019-12-31,5296259.496979432,5323206.974915594,5457842.659910712,5342817.786767697,5318021.324966277,5295541.213208465,5314541.43833008,5441952.066312697,5457842.659910712
2020-01-31,5329344.934389466,5350006.983112139,5489518.087865963,5369249.305652759,5339232.679850128,5328144.491225087,5340810.191585949,5475028.6774904765,5489518.087865963
2020-02-29,5366495.730401813,5379465.52497223,5524645.766110733,5398012.906541654,5362869.189209349,5364666.2259823885,5369967.187210946,5511776.496638371,5524645.766110733
2020-03-31,5405102.344045328,5409539.833816442,5560626.191438972,5426879.983273579,5386703.623141289,5402513.684850605,5399811.42874283,5550130.520083574,5560626.191438972
2020-04-30,5443881.713236759,5440459.947935248,5596400.306988954,5455930.64585067,5410776.047757202,5440529.060267391,5430127.102429817,5588637.592862957,5596400.306988954
2020-05-31,5483881.553253487,5473619.157398467,5634333.798218038,5486565.96023358,5436180.327604525,5479809.441890436,5462318.940892814,5628136.577062094,5634333.798218038
2020-06-30,5522914.949738671,5507036.230713096,5669048.856906292,5517800.704003243,5461858.254254751,5518245.442656353,5494620.899672137,5666023.195485164,5669048.856906292
2020-07-31,5507410.693973359,5497716.703507345,5655514.935452551,5513039.021086963,5455396.284061681,5503932.815695083,5485179.491377136,5654539.86113385,5655514.935452551
2020-08-31,5534276.9369632695,5520375.034879208,5680712.236370492,5535319.798841125,5473190.375213516,5530517.465968205,5507236.267132752,5681893.681389188,5680712.236370492
2020-09-30,5561131.277043285,5543011.95689625,5705923.29127365,5557591.258459386,5490976.602331354,5557089.244443022,5529280.869599151,5709256.232714691,5705923.29127365
2020-10-31,5587973.411511914,5565650.360246379,5731120.592191593,5579855.137627464,5508749.011767734,5583649.426346584,5551325.346829591,5736608.85001702,5731120.592191593
2020-11-30,5614804.093133447,5588271.359933177,5756317.893109533,5602109.325064873,5526526.2899245005,5610196.857879378,5573354.739884424,5763960.385029551,5756317.893109533
2020-12-31,5641627.626082658,5610898.28894824,5781528.948012691,5624366.890650671,5544302.459406688,5636738.234584624,5595390.936686182,5791316.065116492,5781528.948012691
