CENSUS_TRACT,MUNICODE,Count,Return,Risk
488600,870,2505,0.94,2.45
488300,870,2505,0.94,2.45
488400,870,2505,0.94,2.45
489001,870,2505,0.94,2.45
488100,870,2505,0.94,2.45
488200,870,2505,0.94,2.45
418000,815,293,0.85,2.6
419000,815,293,0.85,2.6
512000,843,418,0.84,4.03
512800,843,418,0.84,4.03
512900,843,418,0.84,4.03
517000,843,418,0.84,4.03
517000,872,211,0.82,2.94
519000,816,696,0.82,1.78
522000,847,207,0.82,4.88
482500,863,206,0.76,2.79
498000,837,350,0.76,2.78
486700,301,166,0.72,4.23
486800,301,166,0.72,4.23
551300,875,918,0.68,2.53
564400,875,918,0.68,2.53
564200,875,918,0.68,2.53
503002,875,918,0.68,2.53
462600,842,445,0.67,4.08
464400,842,445,0.67,4.08
463900,842,445,0.67,4.08
499300,829,423,0.63,3.71
499400,829,423,0.63,3.71
500300,848,521,0.55,2.96
509400,858,158,0.52,4.5
501000,860,106,0.46,3.84
803301,930,1089,0.42,2.71
504100,930,1089,0.42,2.71
564400,930,1089,0.42,2.71
523800,934,6215,0.29,2.33
552400,412,199,0.29,2.39
519000,934,6215,0.29,2.33
520001,934,6215,0.29,2.33
523200,934,6215,0.29,2.33
523702,934,6215,0.29,2.33
523400,934,6215,0.29,2.33
523701,934,6215,0.29,2.33
523600,934,6215,0.29,2.33
523501,934,6215,0.29,2.33
523100,934,6215,0.29,2.33
523502,934,6215,0.29,2.33
551300,412,199,0.29,2.39
523300,934,6215,0.29,2.33
551200,408,238,0.23,3.81
492800,202,386,0.1,3.75
492900,202,386,0.1,3.75
